Rk,Player,Day,G#,Week,Date,Age,Team,N,Opp,Result,Pos.,Player-additional
94,Jim Kelly,Sun,4,21,1993-01-31,32-352,BUF,N,DAL,L 17-52,QB,KellJi00
95,Jim Kelly,Sun,3,22,1994-01-30,33-350,BUF,N,DAL,L 13-30,QB,KellJi00
96,Joe Kapp,Sun,5,18,1970-01-11,31-298,MIN,N,KAN,L 7-23,QB,KappJo00
97,Colin Kaepernick,Sun,3,21,2013-02-03,25-092,SFO,N,BAL,L 31-34,QB,KaepCo00
98,Brad Johnson,Sun,3,21,2003-01-26,34-135,TAM,N,OAK,W 48-21,QB,JohnBr00
99,Ron Jaworski,Sun,3,20,1981-01-25,29-308,PHI,N,OAK,L 10-27,QB,JawoRo00
100,Tarvaris Jackson,Sun,3,21,2014-02-02,30-287,SEA,N,DEN,W 43-8,QB,JackTa00
101,Jalen Hurts,Sun,3,22,2023-02-12,24-189,PHI,N,KAN,L 35-38,QB,HurtJa00
102,Stan Humphries,Sun,3,21,1995-01-29,29-290,SDG,N,SFO,L 26-49,QB,HumpSt00
103,David Humm,Sun,3,17,1977-01-09,24-282,OAK,N,MIN,W 32-14,QB,HummDa00
104,David Humm,Sun,3,20,1984-01-22,31-295,RAI,N,WAS,W 38-9,QB,HummDa00
105,Jeff Hostetler,Sun,3,21,1991-01-27,29-280,NYG,N,BUF,W 20-19,QB,HostJe00
106,Matt Hasselbeck,Sun,3,21,2006-02-05,30-133,SEA,N,PIT,L 10-21,QB,HassMa00
107,Terry Hanratty,Sun,3,17,1976-01-18,27-364,PIT,N,DAL,W 21-17,QB,HanrTe00
108,Rex Grossman,Sun,3,21,2007-02-04,26-165,CHI,N,IND,L 17-29,QB,GrosRe00
109,Steve Grogan,Sun,4,20,1986-01-26,32-186,NWE,N,CHI,L 10-46,QB,GrogSt00
110,Bob Griese,Sun,3,17,1972-01-16,26-347,MIA,N,DAL,L 3-24,QB,GrieBo00
111,Bob Griese,Sun,3,17,1973-01-14,27-346,MIA,N,WAS,W 14-7,QB,GrieBo00
112,Bob Griese,Sun,3,17,1974-01-13,28-344,MIA,N,MIN,W 24-7,QB,GrieBo00
113,Elvis Grbac,Sun,3,21,1995-01-29,24-169,SFO,N,SDG,W 49-26,QB,GrbaEl00
114,Jared Goff,Sun,3,21,2019-02-03,24-112,LAR,N,NWE,L 3-13,QB,GoffJa00
115,Gale Gilbert,Sun,3,21,1995-01-29,33-040,SDG,N,SFO,L 26-49,QB,GilbGa00
116,Jimmy Garoppolo,Sun,3,21,2020-02-02,28-092,SFO,N,KAN,L 20-31,QB,GaroJi00
117,Rich Gannon,Sun,3,21,2003-01-26,37-037,OAK,N,TAM,L 21-48,QB,GannRi00
118,Steve Fuller,Sun,3,20,1986-01-26,29-021,CHI,N,NWE,W 46-10,QB,FullSt00
119,Nick Foles,Sun,3,21,2018-02-04,29-015,PHI,N,NWE,W 41-33,QB,FoleNi00
120,Joe Flacco,Sun,4,21,2013-02-03,28-018,BAL,N,SFO,W 34-31,QB,FlacJo00
121,Vince Ferragamo,Sun,3,20,1980-01-20,25-271,RAM,N,PIT,L 19-31,QB,FerrVi00
122,Brett Favre,Sun,3,21,1997-01-26,27-108,GNB,N,NWE,W 35-21,QB,FavrBr00
123,Brett Favre,Sun,3,21,1998-01-25,28-107,GNB,N,DEN,L 24-31,QB,FavrBr00
124,Boomer Esiason,Sun,3,20,1989-01-22,27-280,CIN,N,SFO,L 16-20,QB,EsiaBo00
125,John Elway,Sun,3,20,1987-01-25,26-211,DEN,N,NYG,L 20-39,QB,ElwaJo00
126,John Elway,Sun,3,20,1988-01-31,27-217,DEN,N,WAS,L 10-42,QB,ElwaJo00
127,John Elway,Sun,3,20,1990-01-28,29-214,DEN,N,SFO,L 10-55,QB,ElwaJo00
128,John Elway,Sun,4,21,1998-01-25,37-211,DEN,N,GNB,W 31-24,QB,ElwaJo00
129,John Elway,Sun,3,21,1999-01-31,38-217,DEN,N,ATL,W 34-19,QB,ElwaJo00
130,Tony Eason,Sun,4,20,1986-01-26,26-110,NWE,N,CHI,L 10-46,QB,EasoTo00
131,Trent Dilfer,Sun,4,21,2001-01-28,28-321,BAL,N,NYG,W 34-7,QB,DilfTr00
132,Koy Detmer,Sun,3,21,2005-02-06,31-216,PHI,N,NWE,L 21-24,QB,DetmKo00
133,Jake Delhomme,Sun,4,21,2004-02-01,29-022,CAR,N,NWE,L 29-32,QB,DelhJa00
134,Len Dawson,Sun,2,19,1967-01-15,31-209,KAN,N,GNB,L 10-35,QB,DawsLe00
135,Len Dawson,Sun,5,18,1970-01-11,34-205,KAN,N,MIN,W 23-7,QB,DawsLe00
136,Gary Cuozzo,Sun,5,18,1970-01-11,28-260,MIN,N,KAN,L 7-23,QB,CuozGa00
137,Kerry Collins,Sun,3,21,2001-01-28,28-029,NYG,N,BAL,L 7-34,QB,CollKe00
138,Chris Chandler,Sun,3,21,1999-01-31,33-111,ATL,N,DEN,L 19-34,QB,ChanCh00
139,Joe Burrow,Sun,4,22,2022-02-13,25-065,CIN,N,LAR,L 20-23,QB,BurrJo01
140,Mark Brunell,Sun,3,21,2010-02-07,39-143,NOR,N,IND,W 31-17,QB,BrunMa00
141,Bubby Brister,Sun,3,21,1999-01-31,36-169,DEN,N,ATL,W 34-19,QB,BrisBu00
142,Drew Brees,Sun,3,21,2010-02-07,31-023,NOR,N,IND,W 31-17,QB,BreeDr00
143,Zeke Bratkowski,Sun,2,19,1967-01-15,35-087,GNB,N,KAN,W 35-10,QB,BratZe00
144,Zeke Bratkowski,Sun,3,19,1968-01-14,36-086,GNB,N,OAK,W 33-14,QB,BratZe00
145,Tom Brady,Sun,3,21,2002-02-03,24-184,NWE,N,STL,W 20-17,QB,BradTo00
146,Tom Brady,Sun,3,21,2004-02-01,26-182,NWE,N,CAR,W 32-29,QB,BradTo00
147,Tom Brady,Sun,3,21,2005-02-06,27-187,NWE,N,PHI,W 24-21,QB,BradTo00
148,Tom Brady,Sun,3,21,2008-02-03,30-184,NWE,N,NYG,L 14-17,QB,BradTo00
149,Tom Brady,Sun,3,21,2012-02-05,34-186,NWE,N,NYG,L 17-21,QB,BradTo00
150,Tom Brady,Sun,3,21,2015-02-01,37-182,NWE,N,SEA,W 28-24,QB,BradTo00
151,Tom Brady,Sun,3,21,2017-02-05,39-186,NWE,N,ATL,W 34-28 (OT),QB,BradTo00
152,Tom Brady,Sun,3,21,2018-02-04,40-185,NWE,N,PHI,L 33-41,QB,BradTo00
153,Tom Brady,Sun,3,21,2019-02-03,41-184,NWE,N,LAR,W 13-3,QB,BradTo00
154,Tom Brady,Sun,4,21,2021-02-07,43-188,TAM,N,KAN,W 31-9,QB,BradTo00
155,Terry Bradshaw,Sun,3,17,1975-01-12,26-132,PIT,N,MIN,W 16-6,QB,BradTe00
156,Terry Bradshaw,Sun,3,17,1976-01-18,27-138,PIT,N,DAL,W 21-17,QB,BradTe00
157,Terry Bradshaw,Sun,3,20,1979-01-21,30-141,PIT,N,DAL,W 35-31,QB,BradTe00
158,Terry Bradshaw,Sun,3,20,1980-01-20,31-140,PIT,N,RAM,W 31-19,QB,BradTe00
159,Drew Bledsoe,Sun,3,21,1997-01-26,24-347,NWE,N,GNB,L 21-35,QB,BledDr00
160,George Blanda,Sun,2,19,1968-01-14,40-119,OAK,N,GNB,L 14-33,QB,BlanGe00
161,Steve Beuerlein,Sun,3,21,1993-01-31,27-330,DAL,N,BUF,W 52-17,QB,BeueSt00
162,Pete Beathard,Sun,2,19,1967-01-15,24-314,KAN,N,GNB,L 10-35,QB,BeatPe00
163,Tony Banks,Sun,4,21,2001-01-28,27-298,BAL,N,NYG,W 34-7,QB,BankTo00
164,Ken Anderson,Sun,3,19,1982-01-24,32-343,CIN,N,SFO,L 21-26,QB,AndeKe00
165,Troy Aikman,Sun,3,21,1993-01-31,26-071,DAL,N,BUF,W 52-17,QB,AikmTr00
166,Troy Aikman,Sun,3,22,1994-01-30,27-070,DAL,N,BUF,W 30-13,QB,AikmTr00
167,Troy Aikman,Sun,3,21,1996-01-28,29-068,DAL,N,PIT,W 27-17,QB,AikmTr00
